"player","oapm","dapm","apm","poss"
"Myles Turner",15.4483592193922,-8.90278895245287,6.54557026693935,25447
"Donovan Mitchell",16.1167034238408,-9.57396781749332,6.54273560634746,27222
"Alex Caruso",11.7510552438251,-5.28602005042857,6.46503519339653,19140
"Ja Morant",13.8207168853856,-7.37179279211797,6.44892409326761,16206
"Day'Ron Sharpe",13.1066744176843,-6.65966524692284,6.44700917076142,9599
"Fred VanVleet",14.4482549028652,-8.03121002400662,6.41704487885858,29911
"Tobias Harris",12.9636252683559,-6.55345447554769,6.41017079280819,29047
"Alex Sarr",14.5093496390124,-8.10667270357195,6.40267693544043,7819
"Joel Embiid",9.97276065216099,-3.57014513462593,6.40261551753506,17010
"Luka Doncic",16.3753543448124,-10.0031196518795,6.37223469293286,28035
"Ajay Mitchell",12.1963427519709,-5.90596041729698,6.29038233467394,2448
"Ivica Zubac",12.7131632898856,-6.46984380097389,6.24331948891168,26815
"Leaky Black",13.1134976469288,-6.90701784865416,6.20647979827468,1158
"Tyrese Haliburton",18.1839099868562,-11.9798925534217,6.20401743343449,27622
"Clint Capela",11.9714703098925,-5.77900401279775,6.19246629709477,20381
"DeAndre Jordan",14.1312922096275,-7.95009165676714,6.18120055286035,6898
"Zach Edey",15.2957629563177,-9.16400468891826,6.13175826739946,6119
"Cade Cunningham",15.6205564403068,-9.54097426837606,6.07958217193073,20684
"Brandon Clarke",13.4871590890436,-7.42768496320359,6.05947412584005,10421
"Jae'Sean Tate",9.88476500202107,-3.83109800469064,6.05366699733043,9548
"Bobi Klintman",34.2975685599478,-28.267564058304,6.0300045016438,165
"Keon Ellis",12.7750026973273,-6.78505047679207,5.98995222053526,12186
"Skal Labissiere",25.304870040699,-19.322098074328,5.98277196637102,52
"Goga Bitadze",15.0849244212226,-9.11368670376677,5.97123771745578,11364
"Jimmy Butler",16.9756058884532,-11.0253863187745,5.95021956967869,23910
"Oso Ighodaro",10.4651320558959,-4.55315049572462,5.91198156017127,4257
"Rudy Gay",11.8176304732513,-5.92686841065863,5.89076206259265,3457
"Tolu Smith",3.90662259114668,1.96563785322055,5.87226044436722,89
"Leandro Bolmaro",-0.94992400422237,6.80240401291431,5.85248000869194,285
"Jalen Brunson",18.7456890042949,-12.9119793461675,5.83370965812737,29796
"Derrick White",13.3925751672292,-7.55965322950248,5.83292193772676,29960
"Damian Lillard",16.2965514274728,-10.5541207859647,5.74243064150811,28309
"Onyeka Okongwu",14.5702995389595,-8.83533181089452,5.73496772806495,22605
"Adem Bona",11.3701517086524,-5.65762570433336,5.71252600431906,3707
"Tari Eason",13.1037586271011,-7.40311120642555,5.70064742067554,15301
"Jevon Carter",11.8196645292473,-6.14086964491288,5.6787948843344,13104
"Zion Williamson",15.4011596704382,-9.77294857712178,5.62821109331644,16886
"Cole Swider",11.2917370052736,-5.71447727746616,5.57725972780742,1254
"Rodney McGruder",14.9576928959955,-9.39633182864004,5.56136106735543,2171
"Miles Bridges",13.2345214468659,-7.75175913969241,5.48276230717347,18984
"Jared Rhoden",17.6046015413096,-12.1548489598212,5.44975258148844,2764
"Davion Mitchell",11.9349960513951,-6.53141169574836,5.40358435564669,18735
"Pascal Siakam",14.0351414189983,-8.63315136544547,5.40199005355285,32558
