"player","oefg_rapm","defg_rapm","otov_rapm","dtov_rapm","oorb_rapm","dorb_rapm","oftr_rapm","dftr_rapm","poss"
"Zach LaVine",0.885161681067841,-0.427953278768247,-0.182911939430061,0.64738518500263,-1.53215077424693,-0.188161902606129,-0.660969916467788,-0.225832628076964,25874
"Mike Conley",0.884620482416013,-0.594275322652748,-0.308004866841411,-0.243625132898169,-0.550960667099547,0.252736610841761,-0.410126462954182,1.25515768236051,24435
"Jaylen Brown",0.879876793005023,-0.741810927757152,-0.296425093011934,0.338603533217555,-0.25010068874721,0.132577713857349,1.45552524074799,0.158584702782818,28644
"Tobias Harris",0.877324609133101,0.918221645130672,-0.282127738203075,-0.0121997163754927,-0.294675474986937,0.51633666521085,-0.301777310006701,0.777998428510384,29047
"Santi Aldama",0.864440834166439,-0.482469850031761,-0.49853087726871,0.0655285206927686,-0.0541293752916061,-0.110196493445192,-1.19340331791046,0.433543298166759,20775
"Lauri Markkanen",0.861247814123552,0.21176117921674,-0.0531988237763304,0.617640044274378,0.640825855838339,0.31308930647669,1.11638506996649,-0.182787812288628,23421
"Kevin Durant",0.859910346930421,0.0212208055160349,0.515105869237428,0.90196592441344,-1.53307695689813,-0.234583052766837,1.26452289105672,0.935529567126606,27793
"Payton Pritchard",0.855929193664758,-0.0501196185996352,-0.795324319880163,-0.00551085572195151,1.01232755019708,-0.0638280152381645,-0.690282582268469,0.576915053337309,18939
"Bobby Portis",0.851553573049095,-0.550038344592907,-0.440147587525982,0.641659291361244,0.0713167821266998,0.0969861169539869,-2.80908455422972,1.02797664290062,21099
"Jayson Tatum",0.831147708148001,0.227979028966505,-0.818190363403431,0.187285526428654,0.0389070826676207,-0.310543302492492,1.3010652002956,0.834603226314611,32793
"Kevin Huerter",0.827839866596515,0.0091255131319349,-0.42864117585609,0.245583350599135,-0.793035692892226,0.103672819619681,0.607270988844791,0.342493214359472,22811
"Paul Reed",0.82662189286476,0.494572083669416,-0.297225164175555,-1.31773213023246,-0.00374107516850849,-0.0567982805905959,-1.57093392310967,-0.213727509037548,11316
"Josh Giddey",0.825071833554898,-1.13716963993125,0.393314299998045,0.390772448192993,-0.0799066389856011,0.0713164288436493,-0.500022296664339,1.2533939927114,27815
"Cade Cunningham",0.822203663893805,0.515056763983761,0.394009506932168,-0.349127042644255,-0.225945329451261,0.754387794161413,-0.155471329429796,-0.75545434569148,20684
"Keegan Murray",0.803353841838984,0.27394167886417,-0.148420410296209,0.444564363205593,0.231023033295476,0.178263412369343,-1.55996365217662,0.0921869473457591,31526
"Jordan McLaughlin",0.800029455973819,1.32427674819155,-0.146471073877461,-1.16271684665535,-0.766353357325621,0.0807993204875116,-0.372912756749093,-0.828570855902034,6792
"Jusuf Nurkic",0.795659751849111,-0.0358196442687518,0.680388151698518,0.664194946621124,-0.0230083489210277,1.03705975021022,-0.456292363219915,2.69662964459978,18751
"Daniel Gafford",0.792970430478468,-0.296972479261442,0.267420642232081,0.523893356665958,0.46685104909121,-0.937214737763277,0.374948296387399,0.953006278478014,19526
"Collin Sexton",0.79276660614332,-0.630544589646966,0.18470574481222,0.310882860666785,0.304881441332518,-0.219729518711983,0.735089501115706,-1.76122659337895,20876
"Chris Boucher",0.791097179273645,0.455363708746971,-0.739717504544304,-0.452726344425245,1.42534457307142,0.133996145438378,0.753865512251581,-0.573800151293545,12570
"Neemias Queta",0.786162267258681,-0.272857540037252,0.0907720997303385,-0.443036451920381,0.904093768070135,-0.227969409818135,0.438096833881602,0.234138142492328,4816
"Franz Wagner",0.777118975584123,1.0917453074993,-1.17593819307187,-0.332004066228403,-0.760076519985273,0.662502602874461,0.90959880714111,1.1734377965214,28591
"Brandon Clarke",0.775756957806199,1.174003608796,-0.0446983482545955,-0.55746653462718,0.145817845111996,-0.945388419148016,-0.774034112326616,-2.08077104523061,10421
"Cameron Payne",0.774786375933683,0.479399962258419,-0.639758015320066,-0.52960636701204,-0.0855444122942365,-0.285148637134277,-0.43300372683912,-0.888288201972006,13921
"Dante Exum",0.774033459041021,-0.185509714825731,-0.775057452034879,0.494358638077677,-0.642609706205294,0.189322653461149,-0.598404492060253,0.69052577381469,6118
"Sam Merrill",0.770046846150349,0.787133358745532,-0.525859662606465,-0.364858264546595,0.406740458044841,-0.153846617955692,-1.27617881863796,-0.257899474784379,10352
"Draymond Green",0.76043360271519,1.00877291024059,0.331706483118974,-0.754345489253543,-1.3334660772381,0.240325607020575,0.0891977327128097,2.38226742223217,24579
"Kenrich Williams",0.753468160508035,0.945281972984247,-0.199888518356942,-0.641697795248052,0.477927756566124,0.591475172351427,-0.670717758622631,-0.73389838374444,13978
"Clint Capela",0.742607545649352,-0.505186987436333,-0.147676802141843,-0.109037802207274,1.7230222380541,0.18838641743257,-2.01805489886137,3.00862925823438,20381
"Jonas Valanciunas",0.7407065327864,-1.17058464834042,0.820986399251362,1.05019899751689,0.0733933467087719,1.22279022691162,-0.632534818214558,1.49400303253309,22387
"Zion Williamson",0.735835849066578,0.162138225661197,-0.731838991907747,0.110299184701088,0.871820140694675,-0.342965714943077,2.5481850393959,0.0666878532523054,16886
"Buddy Hield",0.732200221215967,-0.158641625215083,-0.066881044540185,-0.0589010006713904,0.555706577340335,-0.432604422126437,-1.98057917801262,-0.813762937387507,27128
"Christian Braun",0.731963145988899,-0.0618806644099522,-0.396612758638154,0.178962762392721,-0.041650534209238,-0.337172676323072,0.80708072264495,0.38867097542228,22719
